image,mode,blur_mode,K,score
image7.jpg,hsv,blur_all,2,0.49059954285621643
image7.jpg,hsv,blur_all,3,0.6433025598526001
image7.jpg,hsv,blur_all,4,0.6271451711654663
image7.jpg,hsv,blur_all,5,0.6359106302261353
image7.jpg,rgb_xy,no_blur,2,0.3790849447250366
image7.jpg,rgb_xy,no_blur,3,0.3807486295700073
image7.jpg,rgb_xy,no_blur,4,0.39663195610046387
image7.jpg,rgb_xy,no_blur,5,0.37277019023895264
image7.jpg,rgb_xy,blur_all,2,0.3804372549057007
image7.jpg,rgb_xy,blur_all,3,0.38376641273498535
image7.jpg,rgb_xy,blur_all,4,0.4007509648799896
image7.jpg,rgb_xy,blur_all,5,0.3898357152938843
image1.jpg,rgb,no_blur,2,0.5528692007064819
image1.jpg,rgb,no_blur,3,0.5910094380378723
image1.jpg,rgb,no_blur,4,0.4635135531425476
image1.jpg,rgb,no_blur,5,0.5012660026550293
image1.jpg,rgb,blur_all,2,0.5488329529762268
image1.jpg,rgb,blur_all,3,0.5794559717178345
image1.jpg,rgb,blur_all,4,0.45145779848098755
image1.jpg,rgb,blur_all,5,0.47634100914001465
image1.jpg,hsv,no_blur,2,0.5297642946243286
image1.jpg,hsv,no_blur,3,0.495678186416626
image1.jpg,hsv,no_blur,4,0.5134332180023193
image1.jpg,hsv,no_blur,5,0.5149670839309692
image1.jpg,hsv,blur_all,2,0.533676028251648
image1.jpg,hsv,blur_all,3,0.4882637858390808
image1.jpg,hsv,blur_all,4,0.45697706937789917
image1.jpg,hsv,blur_all,5,0.4776931405067444
image1.jpg,rgb_xy,no_blur,2,0.3275894522666931
image1.jpg,rgb_xy,no_blur,3,0.3461992144584656
image1.jpg,rgb_xy,no_blur,4,0.35491544008255005
image1.jpg,rgb_xy,no_blur,5,0.3303028643131256
image1.jpg,rgb_xy,blur_all,2,0.33200204372406006
